PaymentID,CustomerID,PaymentDate,AmountPaid
PAY000103,C001,26-04-2023,7100
PAY000104,C002,26-04-2023,2900
PAY000105,C035,26-04-2023,12900
PAY000106,C001,27-04-2023,9800
PAY000107,C005,27-04-2023,9000
PAY000108,C008,27-04-2023,9600
PAY000109,C008,28-04-2023,800
PAY000110,C009,28-04-2023,8400
PAY000111,C012,28-04-2023,1400
PAY000112,C005,29-04-2023,8600
PAY000113,C007,29-04-2023,5200
PAY000114,C010,29-04-2023,5100
PAY000115,C002,30-04-2023,2600
PAY000116,C005,30-04-2023,3900
PAY000117,C007,30-04-2023,7800
PAY000118,C008,30-04-2023,12900
PAY000119,C010,30-04-2023,6300
PAY000120,C022,30-04-2023,5600
PAY000121,C009,01-05-2023,8300
PAY000122,C010,01-05-2023,3800
PAY000123,C011,01-05-2023,7000
PAY000124,C015,01-05-2023,12800
PAY000125,C001,02-05-2023,6200
PAY000126,C008,02-05-2023,6000
PAY000127,C011,02-05-2023,9700
PAY000128,C002,03-05-2023,2600
PAY000129,C005,03-05-2023,1900
PAY000130,C007,03-05-2023,7100
PAY000131,C017,03-05-2023,500
PAY000132,C033,03-05-2023,1700
PAY000133,C001,04-05-2023,10800
PAY000134,C005,04-05-2023,7600
PAY000135,C006,04-05-2023,5700
PAY000136,C009,04-05-2023,7800
PAY000137,C015,04-05-2023,10500
PAY000138,C004,05-05-2023,10200
PAY000139,C008,05-05-2023,5800
PAY000140,C009,05-05-2023,12800
PAY000141,C010,05-05-2023,9100
PAY000142,C012,05-05-2023,12200
PAY000143,C015,05-05-2023,1900
PAY000144,C035,05-05-2023,4900
PAY000145,C001,06-05-2023,4300
PAY000146,C005,06-05-2023,3800
PAY000147,C007,06-05-2023,13800
PAY000148,C010,06-05-2023,6200
PAY000149,C015,06-05-2023,7200
PAY000150,C002,07-05-2023,800
PAY000151,C004,07-05-2023,13700
PAY000152,C010,07-05-2023,4800
PAY000153,C035,07-05-2023,13700
PAY000154,C001,08-05-2023,6600
PAY000155,C002,08-05-2023,10800
PAY000156,C004,08-05-2023,8700
PAY000157,C009,08-05-2023,9300
PAY000158,C008,09-05-2023,3000
PAY000159,C011,09-05-2023,1000
PAY000160,C003,10-05-2023,13900
PAY000161,C005,10-05-2023,5400
PAY000162,C006,10-05-2023,10700
PAY000163,C008,10-05-2023,7100
PAY000164,C002,11-05-2023,5000
PAY000165,C004,11-05-2023,13600
PAY000166,C009,11-05-2023,6100
PAY000167,C010,11-05-2023,2000
PAY000168,C033,11-05-2023,5600
PAY000169,C008,12-05-2023,13200
PAY000170,C009,12-05-2023,13100
PAY000171,C012,12-05-2023,3000
PAY000172,C022,12-05-2023,13500
PAY000173,C033,12-05-2023,11600
PAY000174,C001,13-05-2023,11000
PAY000175,C002,13-05-2023,9400
PAY000176,C005,13-05-2023,8700
PAY000177,C009,13-05-2023,12600
PAY000178,C010,13-05-2023,3000
PAY000179,C004,14-05-2023,11400
PAY000180,C005,14-05-2023,12300
PAY000181,C007,14-05-2023,3800
PAY000182,C011,14-05-2023,4400
PAY000183,C015,14-05-2023,3500
PAY000184,C017,14-05-2023,3800
PAY000185,C005,15-05-2023,13500
PAY000186,C006,15-05-2023,6000
PAY000187,C012,15-05-2023,2400
PAY000188,C015,15-05-2023,12200
PAY000189,C001,16-05-2023,600
PAY000190,C002,16-05-2023,13400
PAY000191,C004,16-05-2023,7000
PAY000192,C005,16-05-2023,12700
PAY000193,C007,16-05-2023,6000
PAY000194,C009,16-05-2023,7000
PAY000195,C008,17-05-2023,10100
PAY000196,C010,17-05-2023,10000
PAY000197,C011,17-05-2023,2500
PAY000198,C012,17-05-2023,7300
PAY000199,C013,17-05-2023,5000
PAY000200,C035,17-05-2023,2600
PAY000201,C002,18-05-2023,9300
PAY000202,C003,18-05-2023,13400
PAY000203,C005,18-05-2023,2400
PAY000204,C006,18-05-2023,4200
PAY000205,C007,18-05-2023,2500
PAY000206,C001,19-05-2023,10500
PAY000207,C001,19-05-2023,7300
PAY000208,C004,19-05-2023,11900
PAY000209,C007,19-05-2023,8600
PAY000210,C008,19-05-2023,9100
PAY000211,C009,19-05-2023,1000
PAY000212,C011,19-05-2023,7000
PAY000213,C012,19-05-2023,10000
PAY000214,C001,20-05-2023,9400
PAY000215,C006,20-05-2023,8500
PAY000216,C007,20-05-2023,8800
PAY000217,C011,20-05-2023,4700
PAY000218,C015,20-05-2023,7800
PAY000219,C022,20-05-2023,6000
PAY000220,C035,20-05-2023,3700
PAY000221,C002,21-05-2023,6200
PAY000222,C003,21-05-2023,8700
PAY000223,C006,21-05-2023,2200
PAY000224,C012,21-05-2023,4000
PAY000225,C014,21-05-2023,5000
PAY000226,C001,22-05-2023,6600
PAY000227,C007,22-05-2023,3100
PAY000228,C008,22-05-2023,10600
PAY000229,C009,22-05-2023,5100
PAY000230,C010,22-05-2023,13300
PAY000231,C013,22-05-2023,12500
PAY000232,C015,22-05-2023,9300
PAY000233,C002,23-05-2023,7400
PAY000234,C005,23-05-2023,11600
PAY000235,C006,23-05-2023,4500
PAY000236,C012,23-05-2023,10900
PAY000237,C017,23-05-2023,11100
PAY000238,C033,23-05-2023,1000
PAY000239,C003,24-05-2023,2400
PAY000240,C026,24-05-2023,1700
PAY000241,C009,25-05-2023,5900
PAY000242,C010,25-05-2023,12800
PAY000243,C011,25-05-2023,10500
PAY000244,C015,25-05-2023,10800
PAY000245,C015,25-05-2023,12200
PAY000246,C035,25-05-2023,4800
PAY000247,C001,26-05-2023,10600
PAY000248,C002,26-05-2023,2900
PAY000249,C003,26-05-2023,6100
PAY000250,C004,26-05-2023,8200
PAY000251,C005,26-05-2023,8500
PAY000252,C006,26-05-2023,1000
PAY000253,C010,26-05-2023,3500
PAY000254,C011,26-05-2023,5900
PAY000255,C014,26-05-2023,3800
PAY000256,C007,27-05-2023,2500
PAY000257,C009,27-05-2023,1700
PAY000258,C011,27-05-2023,10100
PAY000259,C012,27-05-2023,6100
PAY000260,C035,27-05-2023,11400
PAY000261,C002,28-05-2023,11300
PAY000262,C005,28-05-2023,2000
PAY000263,C005,28-05-2023,13600
PAY000264,C006,28-05-2023,6000
PAY000265,C008,28-05-2023,4000
PAY000266,C015,28-05-2023,2700
PAY000267,C001,29-05-2023,2600
PAY000268,C002,29-05-2023,13800
PAY000269,C003,29-05-2023,8500
PAY000270,C004,29-05-2023,2200
PAY000271,C010,29-05-2023,12200
PAY000272,C022,29-05-2023,3400
PAY000273,C005,30-05-2023,400
PAY000274,C007,30-05-2023,9700
PAY000275,C010,30-05-2023,3600
PAY000276,C012,30-05-2023,3400
PAY000277,C013,30-05-2023,3600
PAY000278,C015,30-05-2023,7800
PAY000279,C001,31-05-2023,3300
PAY000280,C001,31-05-2023,9500
PAY000281,C003,31-05-2023,9600
PAY000282,C002,01-06-2023,12800
PAY000283,C003,01-06-2023,13600
PAY000284,C006,01-06-2023,2500
PAY000285,C009,01-06-2023,11300
PAY000286,C010,01-06-2023,3100
PAY000287,C011,01-06-2023,2800
PAY000288,C012,01-06-2023,12000
PAY000289,C015,01-06-2023,3900
PAY000290,C004,02-06-2023,10300
PAY000291,C007,02-06-2023,11900
PAY000292,C009,02-06-2023,4100
PAY000293,C014,02-06-2023,11100
PAY000294,C026,02-06-2023,8000
PAY000295,C035,02-06-2023,5000
PAY000296,C005,03-06-2023,4600
PAY000297,C009,03-06-2023,3500
PAY000298,C017,03-06-2023,10400
PAY000299,C033,03-06-2023,11900
PAY000300,C002,04-06-2023,2500
PAY000301,C003,04-06-2023,7300
PAY000302,C011,04-06-2023,8900
PAY000303,C012,04-06-2023,9600
PAY000304,C015,04-06-2023,13700
PAY000305,C004,05-06-2023,14000
PAY000306,C005,05-06-2023,11700
PAY000307,C007,05-06-2023,11300
PAY000308,C008,05-06-2023,2000
PAY000309,C013,05-06-2023,13200
PAY000310,C015,05-06-2023,1000
PAY000311,C035,05-06-2023,2000
PAY000312,C002,06-06-2023,9700
PAY000313,C009,06-06-2023,9900
PAY000314,C010,06-06-2023,4500
PAY000315,C017,06-06-2023,2300
PAY000316,C001,07-06-2023,5100
PAY000317,C005,07-06-2023,9600
PAY000318,C007,07-06-2023,1700
PAY000319,C013,07-06-2023,5200
PAY000320,C014,07-06-2023,1400
PAY000321,C003,08-06-2023,10300
PAY000322,C004,08-06-2023,400
PAY000323,C006,08-06-2023,1600
PAY000324,C007,08-06-2023,3300
PAY000325,C008,08-06-2023,13500
PAY000326,C022,08-06-2023,12300
PAY000327,C001,09-06-2023,4500
PAY000328,C004,09-06-2023,2200
PAY000329,C010,09-06-2023,4200
PAY000330,C011,09-06-2023,6300
PAY000331,C015,09-06-2023,10900
PAY000332,C027,09-06-2023,3800
PAY000333,C004,10-06-2023,7800
PAY000334,C005,10-06-2023,11400
PAY000335,C006,11-06-2023,6900
PAY000336,C011,11-06-2023,6800
PAY000337,C012,11-06-2023,7000
PAY000338,C015,11-06-2023,6800
PAY000339,C017,11-06-2023,8200
PAY000340,C033,11-06-2023,12900
PAY000341,C001,12-06-2023,700
PAY000342,C002,12-06-2023,5000
PAY000343,C006,12-06-2023,8000
PAY000344,C008,12-06-2023,11800
PAY000345,C009,12-06-2023,11600
PAY000346,C010,12-06-2023,13800
PAY000347,C011,12-06-2023,11800
PAY000348,C013,12-06-2023,9300
PAY000349,C014,12-06-2023,11000
PAY000350,C033,12-06-2023,7100
PAY000351,C007,13-06-2023,11700
PAY000352,C009,14-06-2023,11500
PAY000353,C015,14-06-2023,11400
PAY000354,C017,14-06-2023,12300
PAY000355,C026,14-06-2023,11200
PAY000356,C035,14-06-2023,7300
PAY000357,C001,15-06-2023,9000
PAY000358,C002,15-06-2023,2300
PAY000359,C003,15-06-2023,12400
PAY000360,C004,15-06-2023,11500
PAY000361,C006,15-06-2023,800
PAY000362,C007,15-06-2023,1500
PAY000363,C008,15-06-2023,6300
PAY000364,C015,15-06-2023,500
PAY000365,C006,16-06-2023,2800
PAY000366,C009,16-06-2023,3100
PAY000367,C011,16-06-2023,12700
PAY000368,C001,17-06-2023,6100
PAY000369,C002,17-06-2023,7100
PAY000370,C003,17-06-2023,800
PAY000371,C004,17-06-2023,1200
PAY000372,C006,17-06-2023,7400
PAY000373,C007,17-06-2023,3500
PAY000374,C014,17-06-2023,11200
PAY000375,C022,17-06-2023,4400
PAY000376,C004,18-06-2023,1100
PAY000377,C005,18-06-2023,4600
PAY000378,C008,18-06-2023,5500
PAY000379,C008,18-06-2023,13700
PAY000380,C012,18-06-2023,500
PAY000381,C015,18-06-2023,7600
PAY000382,C002,19-06-2023,9500
PAY000383,C014,19-06-2023,10500
PAY000384,C015,19-06-2023,1300
PAY000385,C022,19-06-2023,11500
PAY000386,C027,19-06-2023,11100
PAY000387,C031,19-06-2023,5100
PAY000388,C001,20-06-2023,3300
PAY000389,C003,20-06-2023,3500
PAY000390,C004,20-06-2023,1100
PAY000391,C009,20-06-2023,10800
PAY000392,C010,20-06-2023,4300
PAY000393,C013,20-06-2023,3500
PAY000394,C027,20-06-2023,11600
PAY000395,C033,20-06-2023,1500
PAY000396,C001,21-06-2023,4900
PAY000397,C002,21-06-2023,13700
PAY000398,C004,21-06-2023,7300
PAY000399,C005,21-06-2023,3200
PAY000400,C007,21-06-2023,3000
PAY000401,C015,21-06-2023,3000
PAY000402,C017,21-06-2023,7200
PAY000403,C018,21-06-2023,2100
PAY000404,C006,22-06-2023,2400
PAY000405,C011,22-06-2023,8200
PAY000406,C014,22-06-2023,7200
PAY000407,C026,22-06-2023,10000
PAY000408,C033,22-06-2023,7100
PAY000409,C001,23-06-2023,11900
PAY000410,C002,24-06-2023,13000
PAY000411,C004,24-06-2023,6200
PAY000412,C005,24-06-2023,12200
PAY000413,C005,24-06-2023,9000
PAY000414,C007,24-06-2023,3400
PAY000415,C011,24-06-2023,4100
PAY000416,C015,24-06-2023,5600
PAY000417,C035,24-06-2023,1800
PAY000418,C002,25-06-2023,8900
PAY000419,C007,25-06-2023,500
PAY000420,C008,25-06-2023,7500
PAY000421,C014,25-06-2023,3700
PAY000422,C015,25-06-2023,6100
PAY000423,C025,25-06-2023,11200
PAY000424,C005,26-06-2023,5100
PAY000425,C012,26-06-2023,5600
PAY000426,C001,27-06-2023,7700
PAY000427,C003,27-06-2023,4300
PAY000428,C004,27-06-2023,3500
PAY000429,C013,27-06-2023,5100
PAY000430,C002,28-06-2023,13800
PAY000431,C004,28-06-2023,12200
PAY000432,C005,28-06-2023,9200
PAY000433,C007,28-06-2023,6500
PAY000434,C009,28-06-2023,3900
PAY000435,C010,28-06-2023,13300
PAY000436,C011,28-06-2023,10900
PAY000437,C012,28-06-2023,3800
PAY000438,C014,28-06-2023,10200
PAY000439,C015,28-06-2023,11600
PAY000440,C022,28-06-2023,8400
PAY000441,C027,28-06-2023,5600
PAY000442,C033,28-06-2023,13500
PAY000443,C060,28-06-2023,12900
PAY000444,C010,29-06-2023,13600
PAY000445,C012,29-06-2023,3300
PAY000446,C013,29-06-2023,700
PAY000447,C006,30-06-2023,9100
PAY000448,C015,30-06-2023,13000
PAY000449,C018,30-06-2023,12700
PAY000450,C031,30-06-2023,11500
PAY000451,C002,01-07-2023,2500
PAY000452,C007,01-07-2023,1400
PAY000453,C008,01-07-2023,12500
PAY000454,C011,01-07-2023,13700
PAY000455,C013,01-07-2023,9700
PAY000456,C015,01-07-2023,9100
PAY000457,C015,01-07-2023,8800
PAY000458,C026,01-07-2023,8600
PAY000459,C003,02-07-2023,1500
PAY000460,C005,02-07-2023,8300
PAY000461,C006,02-07-2023,5400
PAY000462,C011,02-07-2023,11700
PAY000463,C012,02-07-2023,4800
PAY000464,C017,02-07-2023,10700
PAY000465,C003,03-07-2023,10900
PAY000466,C008,03-07-2023,2600
PAY000467,C011,03-07-2023,9500
PAY000468,C013,03-07-2023,13800
PAY000469,C001,04-07-2023,7400
PAY000470,C009,04-07-2023,5200
PAY000471,C010,04-07-2023,1500
PAY000472,C012,04-07-2023,2800
PAY000473,C054,04-07-2023,4100
PAY007204,,17-06-2025,9800
PAY000474,C004,05-07-2023,5500
PAY003241,C008,,10700
PAY000475,C005,05-07-2023,7200
PAY000476,C017,05-07-2023,4500
PAY000477,C034,05-07-2023,4900
PAY000478,C002,06-07-2023,13700
PAY000479,C003,06-07-2023,11300
PAY000480,C007,06-07-2023,4600
PAY000481,C011,06-07-2023,7200
PAY000482,C014,06-07-2023,6700
PAY000483,C025,06-07-2023,2000
PAY000484,C027,06-07-2023,10000
PAY000485,C029,06-07-2023,9200
PAY000486,C035,06-07-2023,5200
PAY000487,C001,07-07-2023,4800
PAY000488,C002,07-07-2023,4700
PAY000489,C003,07-07-2023,13800
PAY000490,C004,07-07-2023,9700
PAY000491,C006,07-07-2023,12700
PAY000492,C008,07-07-2023,5400
PAY000493,C010,07-07-2023,5800
PAY000494,C012,07-07-2023,10100
PAY000495,C015,07-07-2023,13600
PAY000496,C034,07-07-2023,11000
PAY000497,C054,07-07-2023,11200
PAY000498,C001,08-07-2023,13300
PAY000499,C003,08-07-2023,11600
PAY000500,C011,08-07-2023,11500
PAY000501,C014,08-07-2023,12200
PAY000502,C015,08-07-2023,13500
PAY000503,C018,08-07-2023,10700
PAY000504,C022,08-07-2023,12700
PAY001769,C042,22-12-2023,
PAY000505,C027,08-07-2023,8500
PAY000506,C003,09-07-2023,10300
PAY007891,C011,26-08-2025,3100
PAY000507,C005,09-07-2023,12100
PAY000508,C006,09-07-2023,12400
PAY000509,C012,09-07-2023,10400
PAY000510,C014,09-07-2023,12100
PAY000511,C018,09-07-2023,3000
PAY000512,C001,10-07-2023,8000
PAY000513,C008,10-07-2023,1000
PAY000514,C010,10-07-2023,13000
PAY000515,C011,10-07-2023,10200
PAY000516,C013,10-07-2023,8400
PAY000517,C033,10-07-2023,10600
PAY000518,C004,11-07-2023,11200
PAY000519,C031,11-07-2023,9300
PAY000520,C008,12-07-2023,800
PAY000521,C009,12-07-2023,7200
PAY000522,C014,12-07-2023,5000
PAY000523,C026,12-07-2023,13500
PAY000524,C031,12-07-2023,13600
PAY000525,C001,13-07-2023,3900
PAY000526,C004,13-07-2023,9800
PAY000527,C006,13-07-2023,10400
PAY000528,C008,13-07-2023,12300
PAY000529,C009,13-07-2023,4300
PAY000530,C013,13-07-2023,1100
PAY000531,C017,13-07-2023,9100
PAY000532,C034,13-07-2023,5300
PAY000533,C060,13-07-2023,4400
PAY000534,C002,14-07-2023,1800
PAY000535,C006,14-07-2023,10500
PAY000536,C007,14-07-2023,700
PAY000537,C009,14-07-2023,8600
PAY000538,C026,14-07-2023,4400
PAY000539,C035,14-07-2023,8400
PAY000540,C003,15-07-2023,4900
PAY000541,C005,15-07-2023,11100
PAY000542,C011,15-07-2023,8900
PAY000543,C014,15-07-2023,6400
PAY000544,C015,15-07-2023,13300
PAY000545,C027,15-07-2023,1700
PAY000546,C035,15-07-2023,5500
PAY000547,C001,16-07-2023,7600
PAY000548,C003,16-07-2023,12400
PAY000549,C004,16-07-2023,5000
PAY000550,C025,16-07-2023,2500
PAY000551,C002,17-07-2023,900
PAY000552,C005,17-07-2023,11500
PAY000553,C007,17-07-2023,12200
PAY000554,C010,17-07-2023,11100
PAY000555,C012,17-07-2023,3000
PAY005189,C028,06-12-2024,600
PAY000556,C015,17-07-2023,11700
PAY000557,C018,17-07-2023,1300
PAY000558,C001,18-07-2023,11200
PAY007366,C004,04-Jul-25,12900
PAY000559,C003,18-07-2023,1100
PAY000560,C007,18-07-2023,3100
PAY000561,C009,18-07-2023,1400
PAY000562,C013,18-07-2023,6500
PAY000563,C014,18-07-2023,3300
PAY000564,C018,18-07-2023,13200
PAY000565,C027,18-07-2023,1200
PAY000566,C029,18-07-2023,12800
PAY000567,C054,18-07-2023,5100
PAY000568,C002,19-07-2023,4400
PAY000569,C007,19-07-2023,9200
PAY000570,C014,19-07-2023,3900
pay003458,C018,20-06-2024,10200
PAY000571,C025,19-07-2023,10000
PAY000572,C006,20-07-2023,1500
PAY000573,C008,20-07-2023,10300
PAY000574,C015,20-07-2023,2400
PAY007972,C0 03,04-09-2025,13500
PAY000575,C022,20-07-2023,11700
PAY000576,C002,21-07-2023,9600
PAY000577,C005,21-07-2023,12900
PAY000056,CU022,09-04-2023,4500
PAY000578,C007,21-07-2023,3200
PAY000579,C009,21-07-2023,6000
PAY000580,C011,21-07-2023,6500
PAY000581,C013,21-07-2023,800
PAY000582,C015,21-07-2023,5800
PAY000583,C017,21-07-2023,14000
PAY000584,C034,21-07-2023,500
PAY000450,C031,30-06-2023,-2800
PAY000585,C003,22-07-2023,1800
PAY000586,C005,22-07-2023,2800
PAY000587,C008,22-07-2023,12600
PAY000588,C021,22-07-2023,12800
PAY000589,C026,22-07-2023,9900
PAY000590,C033,22-07-2023,11100
PAY000591,C013,23-07-2023,10900
PAY000592,C017,23-07-2023,13400
PAY000593,C027,23-07-2023,4000
PAY000594,C031,23-07-2023,5400
PAY000595,C002,24-07-2023,5000
PAY000596,C004,24-07-2023,7500
PAY000597,C007,24-07-2023,10600
PAY000598,C008,24-07-2023,5300
PAY000599,C011,24-07-2023,11600
PAY000600,C012,24-07-2023,9200
PAY000601,C034,24-07-2023,6900
PAY008369,C032,15-10-2025,7200
PAY000602,C035,24-07-2023,10400
PAY000603,C001,25-07-2023,2000
PAY000604,C003,25-07-2023,12300
PAY000605,C004,25-07-2023,8700
PAY000606,C005,25-07-2023,2900
PAY000607,C007,25-07-2023,2500
PAY000608,C009,25-07-2023,11200
PAY000609,C010,25-07-2023,11900
PAY000610,C014,25-07-2023,11900
PAY000611,C018,25-07-2023,9300
PAY000612,C031,25-07-2023,12500
PAY000613,C035,25-07-2023,9000
PAY005342,,21-12-2024,9400
PAY000614,C001,26-07-2023,400
PAY000615,C002,26-07-2023,5500
PAY000616,C005,26-07-2023,900
PAY000617,C006,26-07-2023,11500
PAY000618,C007,26-07-2023,9400
PAY000619,C011,26-07-2023,9300
PAY000620,C012,26-07-2023,8900
PAY000621,C013,26-07-2023,11600
PAY000622,C015,26-07-2023,12100
PAY000623,C018,26-07-2023,3100
PAY000624,C025,26-07-2023,10500
PAY000625,C003,27-07-2023,11800
PAY000626,C008,27-07-2023,13400
PAY000627,C010,27-07-2023,3800
PAY000628,C029,27-07-2023,6600
PAY000629,C011,28-07-2023,10000
PAY000630,C008,29-07-2023,6000
PAY000631,C012,29-07-2023,10000
PAY000632,C013,29-07-2023,11200
PAY000633,C015,29-07-2023,9200
PAY000634,C004,30-07-2023,12700
PAY000635,C010,30-07-2023,9300
PAY000636,C013,30-07-2023,11700
PAY000637,C001,31-07-2023,7400
PAY000638,C002,31-07-2023,7500
PAY000639,C004,31-07-2023,11800
PAY000640,C007,31-07-2023,9000
PAY000641,C008,31-07-2023,13900
PAY000642,C017,31-07-2023,6600
PAY000643,C022,31-07-2023,12500
PAY000644,C027,31-07-2023,400
PAY000645,C034,31-07-2023,5900
PAY000646,C054,31-07-2023,11300
PAY000647,C060,31-07-2023,10500
PAY000648,C003,01-08-2023,10400
PAY000649,C005,01-08-2023,3000
PAY000650,C012,01-08-2023,10800
PAY000651,C015,01-08-2023,11200
PAY000652,C021,01-08-2023,3500
PAY000653,C033,01-08-2023,7600
PAY000654,C040,01-08-2023,1600
PAY000655,C006,02-08-2023,7300
PAY000656,C007,02-08-2023,4600
PAY000657,C009,02-08-2023,3100
PAY000658,C013,02-08-2023,3500
PAY000659,C014,02-08-2023,9500
PAY000660,C018,02-08-2023,4400
PAY000661,C022,02-08-2023,9700
PAY000662,C001,03-08-2023,6700
PAY000663,C002,03-08-2023,8200
PAY000664,C004,03-08-2023,4500
PAY000665,C026,03-08-2023,600
PAY000666,C033,03-08-2023,11100
PAY000667,C035,03-08-2023,3400
PAY000668,C040,03-08-2023,5400
PAY000669,C001,04-08-2023,12700
PAY000670,C006,04-08-2023,13400
PAY000671,C008,04-08-2023,3100
PAY000672,C009,04-08-2023,1900
PAY000060,C010,,1700
PAY000673,C014,04-08-2023,6900
PAY000674,C015,04-08-2023,6200
PAY000675,C018,04-08-2023,7800
PAY000676,C029,04-08-2023,2800
PAY000677,C031,04-08-2023,3000
PAY000678,C011,05-08-2023,6900
PAY000679,C013,05-08-2023,7900
PAY000680,C025,05-08-2023,7700
PAY000681,C029,05-08-2023,10200
PAY000682,C031,05-08-2023,7800
PAY000683,C002,06-08-2023,2100
PAY000684,C003,06-08-2023,11100
PAY000685,C006,06-08-2023,10300
PAY000686,C012,06-08-2023,6600
PAY000687,C003,07-08-2023,2200
PAY000688,C004,07-08-2023,1800
PAY000689,C006,07-08-2023,8700
PAY000690,C009,07-08-2023,7600
PAY000691,C009,07-08-2023,2800
PAY000692,C010,07-08-2023,13000
PAY000693,C013,07-08-2023,3200
PAY000694,C001,08-08-2023,8900
PAY000695,C007,08-08-2023,6600
PAY000696,C002,09-08-2023,4100
PAY000697,C005,09-08-2023,1700
PAY000698,C006,09-08-2023,2900
PAY000699,C012,09-08-2023,7600
PAY000700,C014,09-08-2023,9100
PAY000701,C015,09-08-2023,2900
PAY000702,C020,09-08-2023,2300
PAY000703,C033,09-08-2023,4100
PAY000704,C004,10-08-2023,5600
PAY000705,C009,10-08-2023,10400
PAY000706,C012,10-08-2023,4800
PAY000707,C013,10-08-2023,9400
PAY000708,C017,10-08-2023,4300
PAY000709,C023,10-08-2023,13600
PAY000710,C033,10-08-2023,1200
PAY000711,C034,10-08-2023,11000
PAY000712,C001,11-08-2023,6200
PAY000713,C002,11-08-2023,8700
PAY000714,C006,11-08-2023,9400
PAY000715,C007,11-08-2023,2100
PAY000716,C015,11-08-2023,3900
PAY000717,C022,11-08-2023,13500
PAY000718,C003,12-08-2023,10600
PAY000719,C004,12-08-2023,2000
PAY000720,C004,12-08-2023,9900
PAY000721,C008,12-08-2023,8300
PAY000722,C010,12-08-2023,10800
PAY000723,C021,12-08-2023,9300
